internal_code,profile_name,alloy,alloy_din,temper,width_mm,height_mm,wall_thickness_mm,profile_type,weight_kg_per_m,standard_lengths_mm,surface_finishes,tolerance_standard,category,edi_pia_code
AE-2024-034,Equal Angle 20x20x2,EN AW-6060,3.3206,T66,20.0,20.0,2.0,angle,0.21,6000|6500,M|AE2,EN 755-9,architectural,AE-2024-034
AE-2024-035,Equal Angle 30x30x3,EN AW-6060,3.3206,T66,30.0,30.0,3.0,angle,0.46,6000|6500,M|AE2|PC7016,EN 755-9,architectural,AE-2024-035
AE-2024-036,Equal Angle 40x40x3,EN AW-6060,3.3206,T66,40.0,40.0,3.0,angle,0.63,6000|6500,M|AE2|PC7016|PC9016,EN 755-9,architectural,AE-2024-036
AE-2024-037,Equal Angle 50x50x4,EN AW-6082,3.2315,T6,50.0,50.0,4.0,angle,1.04,6000|6500,M|AE2|PC7016|PC9005,EN 755-9,structural,AE-2024-037
AE-2024-038,Equal Angle 60x60x5,EN AW-6082,3.2315,T6,60.0,60.0,5.0,angle,1.55,6000|6500,M|PC7016|PC9005,EN 755-9,structural,AE-2024-038
AE-2024-039,Unequal Angle 40x30x3,EN AW-6060,3.3206,T66,40.0,30.0,3.0,angle,0.54,6000|6500,M|AE2,EN 755-9,architectural,AE-2024-039
AE-2024-040,Unequal Angle 60x40x4,EN AW-6082,3.2315,T6,60.0,40.0,4.0,angle,1.04,6000|6500,M|PC7016|PC9005,EN 755-9,structural,AE-2024-040
AE-2024-041,U-Channel 30x20x3,EN AW-6060,3.3206,T66,20.0,30.0,3.0,channel,0.52,6000,M|AE2,EN 755-9,architectural,AE-2024-041
AE-2024-042,U-Channel 40x40x4,EN AW-6060,3.3206,T66,40.0,40.0,4.0,channel,1.21,6000|6500,M|AE2|PC7016|PC9016,EN 755-9,architectural,AE-2024-042
AE-2024-043,U-Channel 50x30x4,EN AW-6060,3.3206,T66,30.0,50.0,4.0,channel,1.10,6000|6500,M|AE2|PC7016,EN 755-9,architectural,AE-2024-043
AE-2024-044,U-Channel 80x40x5,EN AW-6082,3.2315,T6,40.0,80.0,5.0,channel,2.03,5000|6000,M|PC7016|PC9005,EN 755-9,structural,AE-2024-044
